_id,operator_registration_number,postal_code,ward_number,ward_name
108668,STR-2203-HGLHHJ,M5V,10.0,Spadina-Fort York
108669,STR-2203-HPSHHK,M5J,10.0,Spadina-Fort York
108670,STR-2203-HWYHHL,M1P,21.0,Scarborough Centre
108671,STR-2203-JFFHHM,M8V,3.0,Etobicoke-Lakeshore
108672,STR-2203-FKPVHB,M6K,10.0,Spadina-Fort York
108673,STR-2203-FSVVHC,M5E,10.0,Spadina-Fort York
108674,STR-2203-GBBVHD,M5V,10.0,Spadina-Fort York
108675,STR-2203-GJHVHF,M5V,10.0,Spadina-Fort York
108676,STR-2203-GYVVHH,M8W,3.0,Etobicoke-Lakeshore
108677,STR-2203-HHBVHJ,M5V,10.0,Spadina-Fort York
108678,STR-2203-HQHVHK,M6K,10.0,Spadina-Fort York
108679,STR-2203-HXPVHL,M9C,2.0,Etobicoke Centre
108680,STR-2203-FTLHHC,M5V,10.0,Spadina-Fort York
108681,STR-2203-GJYHHF,M5A,13.0,Toronto Centre
108682,STR-2203-GSFHHG,M3A,16.0,Don Valley East
108683,STR-2203-HQYHHK,M5V,10.0,Spadina-Fort York
108684,STR-2203-HYFHHL,M6R,4.0,Parkdale-High Park
108685,STR-2203-FDRBHB,M6R,4.0,Parkdale-High Park
108686,STR-2203-FLXBHC,M9B,2.0,Etobicoke Centre
108687,STR-2203-GKRBHG,M2J,17.0,Don Valley North
108688,STR-2203-GSXBHH,M3A,16.0,Don Valley East
108689,STR-2203-HBDBHJ,M6J,9.0,Davenport
108690,STR-2203-HJKBHK,M6K,4.0,Parkdale-High Park
108691,STR-2203-HRRBHL,M5R,11.0,University-Rosedale
108692,STR-2203-HYXBHM,M5V,10.0,Spadina-Fort York
108693,STR-2203-FFGPHB,M5J,10.0,Spadina-Fort York
108694,STR-2203-FMMPHC,M5V,10.0,Spadina-Fort York
108695,STR-2203-GLGPHG,M6P,9.0,Davenport
108696,STR-2203-GTMPHH,M6G,11.0,University-Rosedale
108697,STR-2203-HBTPHJ,M6N,5.0,York South-Weston
