_id,operator_registration_number,postal_code,ward_number,ward_name
105827,STR-2011-GZDRVH,M8V,3.0,Etobicoke-Lakeshore
105828,STR-2011-HHKRVJ,M9C,2.0,Etobicoke Centre
105829,STR-2011-HQRRVK,M5V,10.0,Spadina-Fort York
105830,STR-2011-HXXRVL,M4J,14.0,Toronto-Danforth
105831,STR-2011-JGDRVM,M5R,11.0,University-Rosedale
105832,STR-2011-FLPDVB,M5V,10.0,Spadina-Fort York
105833,STR-2011-FTVDVC,M5R,11.0,University-Rosedale
105834,STR-2011-GCBDVD,M8Y,3.0,Etobicoke-Lakeshore
105835,STR-2012-GKHDVF,M5A,13.0,Toronto Centre
105836,STR-2012-GZVDVH,M5J,10.0,Spadina-Fort York
105837,STR-2012-HJBDVJ,M6H,9.0,Davenport
105838,STR-2012-HRHDVK,M5J,10.0,Spadina-Fort York
105839,STR-2012-HYPDVL,M6C,9.0,Davenport
105840,STR-2012-JGVDVM,M6N,5.0,York South-Weston
105841,STR-2012-FDYXVB,M1T,22.0,Scarborough-Agincourt
105842,STR-2012-FMFXVC,M3L,7.0,Humber River-Black Creek
105843,STR-2012-FVLXVD,M5A,13.0,Toronto Centre
105844,STR-2012-GKYXVG,M1M,24.0,Scarborough-Guildwood
105845,STR-2012-GTFXVH,M5T,11.0,University-Rosedale
105846,STR-2012-HBLXVJ,M5A,13.0,Toronto Centre
105847,STR-2012-HRYXVL,M5V,10.0,Spadina-Fort York
105848,STR-2012-HZFXVM,M4Y,13.0,Toronto Centre
105849,STR-2012-FFQKVB,M4J,14.0,Toronto-Danforth
105850,STR-2012-FMWKVC,M5T,10.0,Spadina-Fort York
105851,STR-2012-FWCKVD,M5V,10.0,Spadina-Fort York
105852,STR-2012-GTWKVH,M5J,10.0,Spadina-Fort York
105853,STR-2012-HCCKVJ,M4S,12.0,Toronto-St. Paul's
105854,STR-2012-HZWKVM,M6A,8.0,Eglinton-Lawrence
105855,STR-2012-FPLXVC,M4K,14.0,Toronto-Danforth
105856,STR-2012-GDYXVF,M5R,11.0,University-Rosedale
105857,STR-2012-GMFXVG,M5B,13.0,Toronto Centre
105858,STR-2012-GVLXVH,M6P,9.0,Davenport
105859,STR-2012-HKYXVK,M4C,19.0,Beaches-East York
105860,STR-2012-JBLXVM,M6L,5.0,York South-Weston
105861,STR-2012-FGWKVB,M1S,23.0,Scarborough North
105862,STR-2012-FQCKVC,M5R,11.0,University-Rosedale
105863,STR-2012-FXJKVD,M5R,11.0,University-Rosedale
105864,STR-2012-GFQKVF,M5R,11.0,University-Rosedale
105865,STR-2012-GMWKVG,M5A,13.0,Toronto Centre
105866,STR-2012-HDJKVJ,M5V,10.0,Spadina-Fort York
105867,STR-2012-HLQKVK,M5G,11.0,University-Rosedale
105868,STR-2012-HTWKVL,M6J,10.0,Spadina-Fort York
105869,STR-2012-FHLXVB,M6H,9.0,Davenport
105870,STR-2012-FQSXVC,M6J,9.0,Davenport
105871,STR-2012-FXYXVD,M5V,10.0,Spadina-Fort York
105872,STR-2012-GGFXVF,M4V,12.0,Toronto-St. Paul's
105873,STR-2012-GWSXVH,M1T,22.0,Scarborough-Agincourt
105874,STR-2012-HDYXVJ,M5V,10.0,Spadina-Fort York
105875,STR-2012-HMFXVK,M6P,4.0,Parkdale-High Park
105876,STR-2012-HVLXVL,M5V,10.0,Spadina-Fort York
105877,STR-2012-JCSXVM,M5V,10.0,Spadina-Fort York
105878,STR-2012-FRJKVC,M5J,10.0,Spadina-Fort York
105879,STR-2012-FYQKVD,M4C,19.0,Beaches-East York
105880,STR-2012-GGWKVF,M1V,22.0,Scarborough-Agincourt
105881,STR-2012-GQCKVG,M6K,4.0,Parkdale-High Park
105882,STR-2012-GXJKVH,M6J,10.0,Spadina-Fort York
105883,STR-2012-HFQKVJ,M1W,22.0,Scarborough-Agincourt
105884,STR-2012-HMWKVK,M2N,18.0,Willowdale
105885,STR-2012-JDJKVM,M4W,11.0,University-Rosedale
105886,STR-2012-FJSXVB,M5V,10.0,Spadina-Fort York
105887,STR-2012-FRYXVC,M4M,14.0,Toronto-Danforth
105888,STR-2012-FZFXVD,M9V,1.0,Etobicoke North
105889,STR-2012-GHLXVF,M2J,17.0,Don Valley North
105890,STR-2012-GXYXVH,M1M,20.0,Scarborough Southwest
105891,STR-2012-HGFXVJ,M6M,5.0,York South-Weston
105892,STR-2012-HPLXVK,M4C,19.0,Beaches-East York
105893,STR-2012-HWSXVL,M6K,9.0,Davenport
105894,STR-2012-JDYXVM,M5R,11.0,University-Rosedale
105895,STR-2012-FKJKVB,M5H,10.0,Spadina-Fort York
105896,STR-2012-FSQKVC,M5V,10.0,Spadina-Fort York
105897,STR-2012-FZWKVD,M6A,8.0,Eglinton-Lawrence
105898,STR-2012-GJCKVF,M3H,6.0,York Centre
105899,STR-2012-HGWKVJ,M6K,10.0,Spadina-Fort York
105900,STR-2012-HQCKVK,M1S,23.0,Scarborough North
105901,STR-2012-JFQKVM,M5V,10.0,Spadina-Fort York
105902,STR-2012-FTFXVC,M5J,10.0,Spadina-Fort York
105903,STR-2012-GBLXVD,M5V,10.0,Spadina-Fort York
105904,STR-2012-GJSXVF,M9W,1.0,Etobicoke North
105905,STR-2012-GZFXVH,M5B,13.0,Toronto Centre
105906,STR-2012-HXYXVL,M5V,10.0,Spadina-Fort York
105907,STR-2012-JGFXVM,M5J,10.0,Spadina-Fort York
105908,STR-2012-GCCKVD,M2J,17.0,Don Valley North
105909,STR-2012-GKJKVF,M6J,10.0,Spadina-Fort York
105910,STR-2012-HJCKVJ,M5V,10.0,Spadina-Fort York
105911,STR-2012-HRJKVK,M1V,23.0,Scarborough North
105912,STR-2012-JGWKVM,M4Y,13.0,Toronto Centre
105913,STR-2012-FFBDVB,M4E,19.0,Beaches-East York
105914,STR-2012-FVPDVD,M3J,7.0,Humber River-Black Creek
105915,STR-2012-GCVDVF,M6G,11.0,University-Rosedale
105916,STR-2012-HBPDVJ,M5A,13.0,Toronto Centre
105917,STR-2012-HJVDVK,M5V,10.0,Spadina-Fort York
105918,STR-2012-HSBDVL,M6J,10.0,Spadina-Fort York
105919,STR-2012-HZHDVM,M6K,9.0,Davenport
105920,STR-2012-FFRRVB,M6S,4.0,Parkdale-High Park
105921,STR-2012-FMXRVC,M3A,16.0,Don Valley East
105922,STR-2012-FWDRVD,M5V,10.0,Spadina-Fort York
105923,STR-2012-GDKRVF,M6S,4.0,Parkdale-High Park
105924,STR-2012-GLRRVG,M6S,4.0,Parkdale-High Park
105925,STR-2012-GTXRVH,M4P,15.0,Don Valley West
105926,STR-2012-HCDRVJ,M5S,11.0,University-Rosedale
105927,STR-2012-HKKRVK,M6J,11.0,University-Rosedale
105928,STR-2012-HSRRVL,M6R,4.0,Parkdale-High Park
105929,STR-2012-FWVDVD,M2K,17.0,Don Valley North
105930,STR-2012-GFBDVF,M4C,19.0,Beaches-East York
105931,STR-2012-GVPDVH,M5J,10.0,Spadina-Fort York
105932,STR-2012-HCVDVJ,M4L,14.0,Toronto-Danforth
105933,STR-2012-HLBDVK,M4L,14.0,Toronto-Danforth
105934,STR-2012-HTHDVL,M5A,13.0,Toronto Centre
105935,STR-2012-JBPDVM,M6J,9.0,Davenport
105936,STR-2012-FGXRVB,M4M,14.0,Toronto-Danforth
105937,STR-2012-FQDRVC,M6R,4.0,Parkdale-High Park
105938,STR-2012-FXKRVD,M6R,4.0,Parkdale-High Park
105939,STR-2012-GFRRVF,M4L,14.0,Toronto-Danforth
105940,STR-2012-GMXRVG,M9P,2.0,Etobicoke Centre
105941,STR-2012-HLRRVK,M6K,10.0,Spadina-Fort York
105942,STR-2012-HTXRVL,M2M,18.0,Willowdale
105943,STR-2012-JCDRVM,M9N,5.0,York South-Weston
105944,STR-2012-FQVDVC,M2H,17.0,Don Valley North
105945,STR-2012-GPPDVG,M6K,10.0,Spadina-Fort York
105946,STR-2012-GWVDVH,M8W,3.0,Etobicoke-Lakeshore
105947,STR-2012-HFBDVJ,M5J,10.0,Spadina-Fort York
105948,STR-2012-HMHDVK,M5V,10.0,Spadina-Fort York
105949,STR-2012-HVPDVL,M5A,13.0,Toronto Centre
105950,STR-2012-FJDRVB,M6G,11.0,University-Rosedale
105951,STR-2012-FRKRVC,M6H,9.0,Davenport
105952,STR-2012-FYRRVD,M6G,11.0,University-Rosedale
105953,STR-2012-GGXRVF,M5T,11.0,University-Rosedale
105954,STR-2012-GQDRVG,M5A,13.0,Toronto Centre
105955,STR-2012-FLBDVB,M6J,10.0,Spadina-Fort York
105956,STR-2012-HFRRVJ,M6H,9.0,Davenport
105957,STR-2012-HMXRVK,M6K,4.0,Parkdale-High Park
105958,STR-2012-HWDRVL,M4M,14.0,Toronto-Danforth
105959,STR-2012-JDKRVM,M6E,9.0,Davenport
105960,STR-2012-FJVDVB,M5V,10.0,Spadina-Fort York
105961,STR-2012-FZHDVD,M8W,3.0,Etobicoke-Lakeshore
105962,STR-2012-GQVDVG,M1R,21.0,Scarborough Centre
105963,STR-2012-GYBDVH,M6J,9.0,Davenport
105964,STR-2012-HGHDVJ,M4Y,13.0,Toronto Centre
105965,STR-2012-HPPDVK,M5V,10.0,Spadina-Fort York
105966,STR-2012-HWVDVL,M6K,4.0,Parkdale-High Park
105967,STR-2012-FSRRVC,M6G,11.0,University-Rosedale
105968,STR-2012-FZXRVD,M4S,15.0,Don Valley West
105969,STR-2012-GJDRVF,M4J,14.0,Toronto-Danforth
105970,STR-2012-GRKRVG,M2J,17.0,Don Valley North
105971,STR-2012-GYRRVH,M5V,10.0,Spadina-Fort York
105972,STR-2012-HGXRVJ,M1N,20.0,Scarborough Southwest
105973,STR-2012-HQDRVK,M1W,22.0,Scarborough-Agincourt
105974,STR-2012-HXKRVL,M2M,18.0,Willowdale
105975,STR-2012-JFRRVM,M4W,11.0,University-Rosedale
105976,STR-2012-FTHDVC,M5V,10.0,Spadina-Fort York
105977,STR-2012-GJVDVF,M4M,14.0,Toronto-Danforth
105978,STR-2012-GSBDVG,M6S,4.0,Parkdale-High Park
105979,STR-2012-GZHDVH,M2M,18.0,Willowdale
105980,STR-2012-HHPDVJ,M5J,10.0,Spadina-Fort York
105981,STR-2012-HQVDVK,M6N,5.0,York South-Weston
105982,STR-2012-HYBDVL,M2N,18.0,Willowdale
105983,STR-2012-JGHDVM,M1E,25.0,Scarborough-Rouge Park
105984,STR-2012-GCDRVD,M4Y,13.0,Toronto Centre
105985,STR-2012-GSRRVG,M4Y,13.0,Toronto Centre
105986,STR-2012-GZXRVH,M6E,9.0,Davenport
105987,STR-2012-HJDRVJ,M2J,17.0,Don Valley North
105988,STR-2012-HYRRVL,M5S,11.0,University-Rosedale
105989,STR-2012-JGXRVM,M6P,9.0,Davenport
105990,STR-2012-FFCKVB,M6J,11.0,University-Rosedale
105991,STR-2012-FMJKVC,M5J,10.0,Spadina-Fort York
105992,STR-2012-FVQKVD,M6E,8.0,Eglinton-Lawrence
105993,STR-2012-GCWKVF,M4M,14.0,Toronto-Danforth
105994,STR-2012-GTJKVH,M9B,2.0,Etobicoke Centre
105995,STR-2012-HBQKVJ,M4S,15.0,Don Valley West
105996,STR-2012-HSCKVL,M6J,11.0,University-Rosedale
105997,STR-2012-HZJKVM,M2P,15.0,Don Valley West
105998,STR-2012-FFSXVB,M5V,10.0,Spadina-Fort York
105999,STR-2012-FWFXVD,M5V,10.0,Spadina-Fort York
106000,STR-2012-GDLXVF,M6A,8.0,Eglinton-Lawrence
106001,STR-2012-HCFXVJ,M1B,25.0,Scarborough-Rouge Park
106002,STR-2012-HKLXVK,M5V,10.0,Spadina-Fort York
106003,STR-2012-HSSXVL,M3A,16.0,Don Valley East
106004,STR-2012-HZYXVM,M1M,24.0,Scarborough-Guildwood
106005,STR-2012-FGJKVB,M4L,19.0,Beaches-East York
106006,STR-2012-FPQKVC,M4L,19.0,Beaches-East York
106007,STR-2012-GFCKVF,M6K,10.0,Spadina-Fort York
106008,STR-2012-GMJKVG,M5V,10.0,Spadina-Fort York
106009,STR-2012-GVQKVH,M5V,10.0,Spadina-Fort York
106010,STR-2012-HCWKVJ,M8V,3.0,Etobicoke-Lakeshore
106011,STR-2012-HLCKVK,M4M,14.0,Toronto-Danforth
106012,STR-2012-HTJKVL,M6K,4.0,Parkdale-High Park
106013,STR-2012-JBQKVM,M5T,11.0,University-Rosedale
106014,STR-2108-FVYBHD,M2L,15.0,Don Valley West
106015,STR-2012-FXLXVD,M3J,7.0,Humber River-Black Creek
106016,STR-2012-GMYXVG,M5V,10.0,Spadina-Fort York
106017,STR-2012-HTYXVL,M6H,9.0,Davenport
106018,STR-2012-JCFXVM,M8V,3.0,Etobicoke-Lakeshore
106019,STR-2012-FHQKVB,M5G,11.0,University-Rosedale
106020,STR-2012-FYCKVD,M5J,10.0,Spadina-Fort York
106021,STR-2012-GGJKVF,M4T,11.0,University-Rosedale
106022,STR-2012-GPQKVG,M8V,3.0,Etobicoke-Lakeshore
106023,STR-2012-GWWKVH,M9V,1.0,Etobicoke North
106024,STR-2012-HMJKVK,M5R,11.0,University-Rosedale
106025,STR-2012-HVQKVL,M9W,1.0,Etobicoke North
106026,STR-2012-JCWKVM,M9A,2.0,Etobicoke Centre
106027,STR-2012-FJFXVB,M5V,10.0,Spadina-Fort York
106028,STR-2012-FYSXVD,M6H,9.0,Davenport
106029,STR-2012-GQFXVG,M4J,14.0,Toronto-Danforth
106030,STR-2012-GXLXVH,M5R,11.0,University-Rosedale
106031,STR-2012-HFSXVJ,M5V,10.0,Spadina-Fort York
106032,STR-2012-HMYXVK,M2P,15.0,Don Valley West
106033,STR-2012-HWFXVL,M6N,9.0,Davenport
106034,STR-2012-JDLXVM,M2M,18.0,Willowdale
106035,STR-2012-FSCKVC,M2N,18.0,Willowdale
106036,STR-2012-GHQKVF,M5V,10.0,Spadina-Fort York
106037,STR-2012-GYCKVH,M5J,10.0,Spadina-Fort York
106038,STR-2012-HGJKVJ,M6G,11.0,University-Rosedale
106039,STR-2012-HPQKVK,M6H,9.0,Davenport
106040,STR-2012-HWWKVL,M3H,6.0,York Centre
106041,STR-2012-JFCKVM,M5V,10.0,Spadina-Fort York
106042,STR-2012-FKLXVB,M4G,15.0,Don Valley West
106043,STR-2012-FZYXVD,M9V,1.0,Etobicoke North
106044,STR-2012-GJFXVF,M5A,13.0,Toronto Centre
106045,STR-2012-GRLXVG,M4C,19.0,Beaches-East York
106046,STR-2012-GYSXVH,M5V,10.0,Spadina-Fort York
106047,STR-2012-HGYXVJ,M5V,10.0,Spadina-Fort York
106048,STR-2012-HQFXVK,M9W,1.0,Etobicoke North
106049,STR-2012-HXLXVL,M5V,10.0,Spadina-Fort York
106050,STR-2012-FLCKVB,M5V,10.0,Spadina-Fort York
106051,STR-2012-FTJKVC,M8Y,3.0,Etobicoke-Lakeshore
106052,STR-2012-GBQKVD,M5V,10.0,Spadina-Fort York
106053,STR-2012-GSCKVG,M8V,3.0,Etobicoke-Lakeshore
106054,STR-2012-GZJKVH,M6P,4.0,Parkdale-High Park
106055,STR-2012-HHQKVJ,M5A,13.0,Toronto Centre
106056,STR-2012-HYCKVL,M6H,9.0,Davenport
106057,STR-2012-JGJKVM,M5R,11.0,University-Rosedale
106058,STR-2012-FLSXVB,M4C,19.0,Beaches-East York
106059,STR-2012-FTYXVC,M6H,9.0,Davenport
106060,STR-2012-GKLXVF,M3J,7.0,Humber River-Black Creek
106061,STR-2012-GZYXVH,M5V,10.0,Spadina-Fort York
106062,STR-2012-HJFXVJ,M6E,9.0,Davenport
106063,STR-2012-HRLXVK,M6R,4.0,Parkdale-High Park
106064,STR-2012-JGYXVM,M2J,17.0,Don Valley North
106065,STR-2012-FDPHHB,M5J,10.0,Spadina-Fort York
106066,STR-2012-FLVHHC,M4K,14.0,Toronto-Danforth
106067,STR-2012-FVBHHD,M2M,18.0,Willowdale
106068,STR-2012-HKPHHK,M4V,12.0,Toronto-St. Paul's
106069,STR-2012-GKPHHG,M5A,13.0,Toronto Centre
106070,STR-2012-GSVHHH,M4S,12.0,Toronto-St. Paul's
106071,STR-2012-HBBHHJ,M5T,11.0,University-Rosedale
106072,STR-2012-HJHHHK,M2J,17.0,Don Valley North
106073,STR-2012-HRPHHL,M5C,13.0,Toronto Centre
106074,STR-2012-HYVHHM,M5V,10.0,Spadina-Fort York
106075,STR-2012-FFDVHB,M1L,20.0,Scarborough Southwest
106076,STR-2012-FMKVHC,M2N,18.0,Willowdale
106077,STR-2012-FVRVHD,M5J,10.0,Spadina-Fort York
106078,STR-2012-GCXVHF,M5V,10.0,Spadina-Fort York
106079,STR-2012-GLDVHG,M4M,14.0,Toronto-Danforth
106080,STR-2012-GTKVHH,M2M,18.0,Willowdale
106081,STR-2012-HBRVHJ,M5M,8.0,Eglinton-Lawrence
106082,STR-2012-HJXVHK,M5J,10.0,Spadina-Fort York
106083,STR-2012-HZKVHM,M1V,23.0,Scarborough North
106084,STR-2012-FPBHHC,M4Y,13.0,Toronto Centre
106085,STR-2012-GDPHHF,M6H,9.0,Davenport
106086,STR-2012-GLVHHG,M4X,13.0,Toronto Centre
106087,STR-2012-GVBHHH,M5S,13.0,Toronto Centre
106088,STR-2012-HCHHHJ,M5S,11.0,University-Rosedale
106089,STR-2012-HSVHHL,M6P,4.0,Parkdale-High Park
106090,STR-2012-JBBHHM,M6H,9.0,Davenport
106091,STR-2012-FWXVHD,M6H,9.0,Davenport
106092,STR-2012-GVRVHH,M5A,13.0,Toronto Centre
106093,STR-2012-HCXVHJ,M5V,10.0,Spadina-Fort York
106094,STR-2012-HLDVHK,M5V,10.0,Spadina-Fort York
106095,STR-2012-HTKVHL,M5M,8.0,Eglinton-Lawrence
106096,STR-2012-JBRVHM,M6J,10.0,Spadina-Fort York
106097,STR-2012-FHBHHB,M5V,10.0,Spadina-Fort York
106098,STR-2012-FQHHHC,M4M,14.0,Toronto-Danforth
106099,STR-2012-FXPHHD,M1K,21.0,Scarborough Centre
106100,STR-2012-GFVHHF,M4J,14.0,Toronto-Danforth
106101,STR-2012-GWHHHH,M5E,10.0,Spadina-Fort York
106102,STR-2012-HLVHHK,M5V,10.0,Spadina-Fort York
106103,STR-2012-HVBHHL,M1K,21.0,Scarborough Centre
106104,STR-2012-FQXVHC,M5J,10.0,Spadina-Fort York
106105,STR-2012-FYDVHD,M2K,17.0,Don Valley North
106106,STR-2012-GGKVHF,M5V,10.0,Spadina-Fort York
106107,STR-2012-GPRVHG,M5V,10.0,Spadina-Fort York
106108,STR-2012-GWXVHH,M6K,4.0,Parkdale-High Park
106109,STR-2012-HFDVHJ,M5V,10.0,Spadina-Fort York
106110,STR-2012-HVRVHL,M6P,4.0,Parkdale-High Park
106111,STR-2012-JCXVHM,M4C,19.0,Beaches-East York
106112,STR-2012-FJHHHB,M4L,19.0,Beaches-East York
106113,STR-2012-FYVHHD,M6J,10.0,Spadina-Fort York
106114,STR-2012-GHBHHF,M5V,10.0,Spadina-Fort York
106115,STR-2012-GQHHHG,M1H,24.0,Scarborough-Guildwood
106116,STR-2012-GXPHHH,M1T,22.0,Scarborough-Agincourt
106117,STR-2012-HFVHHJ,M5M,8.0,Eglinton-Lawrence
106118,STR-2012-HPBHHK,M6G,11.0,University-Rosedale
106119,STR-2012-HWHHHL,M6S,4.0,Parkdale-High Park
106120,STR-2012-FJXVHB,M5A,13.0,Toronto Centre
106121,STR-2012-FSDVHC,M6G,11.0,University-Rosedale
106122,STR-2012-FZKVHD,M5J,10.0,Spadina-Fort York
106123,STR-2012-GHRVHF,M8V,3.0,Etobicoke-Lakeshore
106124,STR-2012-GQXVHG,M5J,10.0,Spadina-Fort York
106125,STR-2012-GYDVHH,M6H,9.0,Davenport
106126,STR-2012-HGKVHJ,M6K,10.0,Spadina-Fort York
106127,STR-2012-HPRVHK,M1V,23.0,Scarborough North
106128,STR-2012-HWXVHL,M4T,11.0,University-Rosedale
106129,STR-2012-JFDVHM,M4M,14.0,Toronto-Danforth
106130,STR-2012-FKPHHB,M2N,18.0,Willowdale
106131,STR-2012-FSVHHC,M1K,21.0,Scarborough Centre
106132,STR-2012-GBBHHD,M6S,4.0,Parkdale-High Park
106133,STR-2012-GJHHHF,M4M,14.0,Toronto-Danforth
106134,STR-2012-GRPHHG,M5J,10.0,Spadina-Fort York
106135,STR-2012-HQHHHK,M5J,10.0,Spadina-Fort York
106136,STR-2012-HXPHHL,M4M,14.0,Toronto-Danforth
106137,STR-2012-FLDVHB,M5A,13.0,Toronto Centre
106138,STR-2012-FTKVHC,M1V,22.0,Scarborough-Agincourt
106139,STR-2012-GBRVHD,M8Z,3.0,Etobicoke-Lakeshore
106140,STR-2012-GJXVHF,M5A,13.0,Toronto Centre
106141,STR-2012-GSDVHG,M5R,11.0,University-Rosedale
106142,STR-2012-GZKVHH,M4J,14.0,Toronto-Danforth
106143,STR-2012-HHRVHJ,M4R,8.0,Eglinton-Lawrence
106144,STR-2012-HQXVHK,M5A,13.0,Toronto Centre
106145,STR-2012-JGKVHM,M5R,11.0,University-Rosedale
106146,STR-2012-FDQPHB,M5V,10.0,Spadina-Fort York
106147,STR-2202-FHPRVB,M5T,10.0,Spadina-Fort York
106148,STR-2012-FLWPHC,M5J,10.0,Spadina-Fort York
106149,STR-2012-FVCPHD,M4R,8.0,Eglinton-Lawrence
106150,STR-2012-GCJPHF,M5A,13.0,Toronto Centre
106151,STR-2012-GKQPHG,M2N,18.0,Willowdale
106152,STR-2012-HBCPHJ,M5J,10.0,Spadina-Fort York
106153,STR-2012-HJJPHK,M4Y,13.0,Toronto Centre
106154,STR-2012-HRQPHL,M2N,18.0,Willowdale
106155,STR-2012-FFGBHB,M1G,24.0,Scarborough-Guildwood
106156,STR-2012-FMMBHC,M6G,11.0,University-Rosedale
106157,STR-2012-FVTBHD,M6K,4.0,Parkdale-High Park
106158,STR-2012-GCZBHF,M1V,23.0,Scarborough North
106159,STR-2012-GLGBHG,M9B,2.0,Etobicoke Centre
106160,STR-2012-GTMBHH,M4S,12.0,Toronto-St. Paul's
106161,STR-2012-HBTBHJ,M2K,17.0,Don Valley North
106162,STR-2012-HJZBHK,M4L,14.0,Toronto-Danforth
106163,STR-2012-HSGBHL,M5S,11.0,University-Rosedale
106164,STR-2012-HZMBHM,M2N,18.0,Willowdale
106165,STR-2012-FFWPHB,M5R,11.0,University-Rosedale
106166,STR-2012-GVCPHH,M5A,13.0,Toronto Centre
106167,STR-2012-HCJPHJ,M2J,17.0,Don Valley North
106168,STR-2012-HKQPHK,M4S,12.0,Toronto-St. Paul's
106169,STR-2012-HSWPHL,M2N,18.0,Willowdale
106170,STR-2012-JBCPHM,M3J,7.0,Humber River-Black Creek
106171,STR-2012-FGMBHB,M1J,21.0,Scarborough Centre
106172,STR-2012-FPTBHC,M4E,19.0,Beaches-East York
106173,STR-2012-FWZBHD,M1H,24.0,Scarborough-Guildwood
106174,STR-2012-GMMBHG,M6R,4.0,Parkdale-High Park
106175,STR-2012-GVTBHH,M5S,11.0,University-Rosedale
106176,STR-2012-HCZBHJ,M4L,19.0,Beaches-East York
106177,STR-2012-HLGBHK,M6J,11.0,University-Rosedale
106178,STR-2012-HTMBHL,M3H,6.0,York Centre
106179,STR-2012-JBTBHM,M4M,14.0,Toronto-Danforth
106180,STR-2012-FQJPHC,M6S,4.0,Parkdale-High Park
106181,STR-2012-FXQPHD,M1L,20.0,Scarborough Southwest
106182,STR-2012-GFWPHF,M6J,10.0,Spadina-Fort York
106183,STR-2012-GPCPHG,M1E,24.0,Scarborough-Guildwood
106184,STR-2012-GWJPHH,M5E,10.0,Spadina-Fort York
106185,STR-2012-HDQPHJ,M5H,10.0,Spadina-Fort York
106186,STR-2012-HLWPHK,M1L,20.0,Scarborough Southwest
106187,STR-2012-HVCPHL,M5V,10.0,Spadina-Fort York
106188,STR-2012-JCJPHM,M6J,9.0,Davenport
106189,STR-2012-FQZBHC,M6K,4.0,Parkdale-High Park
106190,STR-2012-FYGBHD,M5V,10.0,Spadina-Fort York
106191,STR-2012-GGMBHF,M5A,13.0,Toronto Centre
106192,STR-2012-GPTBHG,M4M,14.0,Toronto-Danforth
106193,STR-2012-GWZBHH,M1L,20.0,Scarborough Southwest
106194,STR-2012-HFGBHJ,M6J,10.0,Spadina-Fort York
106195,STR-2012-HMMBHK,M6J,10.0,Spadina-Fort York
106196,STR-2012-HVTBHL,M4E,19.0,Beaches-East York
106197,STR-2012-FJJPHB,M9P,2.0,Etobicoke Centre
106198,STR-2012-FYWPHD,M4L,19.0,Beaches-East York
106199,STR-2012-GHCPHF,M1E,24.0,Scarborough-Guildwood
106200,STR-2012-GQJPHG,M5R,11.0,University-Rosedale
106201,STR-2012-GXQPHH,M5G,11.0,University-Rosedale
106202,STR-2012-HPCPHK,M4M,14.0,Toronto-Danforth
106203,STR-2012-HWJPHL,M2H,17.0,Don Valley North
106204,STR-2012-JDQPHM,M6J,10.0,Spadina-Fort York
106205,STR-2012-FSGBHC,M6K,4.0,Parkdale-High Park
106206,STR-2012-FZMBHD,M5V,10.0,Spadina-Fort York
106207,STR-2012-GHTBHF,M2K,17.0,Don Valley North
106208,STR-2012-GQZBHG,M4L,19.0,Beaches-East York
106209,STR-2012-HGMBHJ,M4K,14.0,Toronto-Danforth
106210,STR-2012-HPTBHK,M4L,14.0,Toronto-Danforth
106211,STR-2012-JFGBHM,M4K,14.0,Toronto-Danforth
106212,STR-2012-FKQPHB,M5V,10.0,Spadina-Fort York
106213,STR-2012-GBCPHD,M1C,25.0,Scarborough-Rouge Park
106214,STR-2012-GJJPHF,M5A,13.0,Toronto Centre
106215,STR-2012-GRQPHG,M5H,10.0,Spadina-Fort York
106216,STR-2012-GYWPHH,M5T,10.0,Spadina-Fort York
106217,STR-2012-HQJPHK,M5T,11.0,University-Rosedale
106218,STR-2012-HXQPHL,M9W,1.0,Etobicoke North
106219,STR-2012-FLGBHB,M4Y,13.0,Toronto Centre
106220,STR-2012-GBTBHD,M6H,9.0,Davenport
106221,STR-2012-GJZBHF,M1S,23.0,Scarborough North
106222,STR-2012-GSGBHG,M5T,10.0,Spadina-Fort York
106223,STR-2012-GZMBHH,M5A,13.0,Toronto Centre
106224,STR-2012-HHTBHJ,M4Y,13.0,Toronto Centre
106225,STR-2012-HQZBHK,M4M,14.0,Toronto-Danforth
106226,STR-2012-HYGBHL,M2N,18.0,Willowdale
106227,STR-2012-JGMBHM,M2J,17.0,Don Valley North
106228,STR-2012-FLXVHC,M4C,19.0,Beaches-East York
106229,STR-2012-GCKVHF,M6L,5.0,York South-Weston
106230,STR-2012-GKRVHG,M5T,10.0,Spadina-Fort York
106231,STR-2012-GSXVHH,M5V,10.0,Spadina-Fort York
106232,STR-2012-HBDVHJ,M4G,15.0,Don Valley West
106233,STR-2012-HJKVHK,M4X,13.0,Toronto Centre
106234,STR-2012-HYXVHM,M4L,19.0,Beaches-East York
106235,STR-2012-FFHHHB,M6J,9.0,Davenport
106236,STR-2012-GDBHHF,M1R,21.0,Scarborough Centre
106237,STR-2012-GTPHHH,M1V,22.0,Scarborough-Agincourt
106238,STR-2012-HBVHHJ,M6H,9.0,Davenport
106239,STR-2012-HKBHHK,M4Y,13.0,Toronto Centre
106240,STR-2012-HSHHHL,M5V,10.0,Spadina-Fort York
106241,STR-2012-FFXVHB,M9M,7.0,Humber River-Black Creek
106242,STR-2012-FWKVHD,M5A,13.0,Toronto Centre
106243,STR-2012-GDRVHF,M2N,18.0,Willowdale
106244,STR-2012-GLXVHG,M5R,11.0,University-Rosedale
106245,STR-2012-GVDVHH,M4M,14.0,Toronto-Danforth
106246,STR-2012-HCKVHJ,M1G,24.0,Scarborough-Guildwood
106247,STR-2012-HKRVHK,M4M,14.0,Toronto-Danforth
106248,STR-2012-HSXVHL,M5T,11.0,University-Rosedale
